county,distid,dist_name,instid,inst_name,inst_type,asian,black_african_american,hispanic_latino,american_indian_alaska_native,multi_racial,native_hawaiian_pacific_islander,white
Multnomah,2183,Gresham-Barlow SD 10J,941,East Orient Elementary School,School,NA,NA,4.3,NA,NA,NA,5
Multnomah,2182,Reynolds SD 7,943,Alder Elementary School,School,0.5,2.5,2.2,NA,3.1,0.3,3.2
Multnomah,2182,Reynolds SD 7,945,Fairview Elementary School,School,NA,NA,0.3,NA,NA,NA,4.4
Multnomah,2182,Reynolds SD 7,946,Glenfair Elementary School,School,5.2,3.8,0.9,NA,NA,NA,3.5
Multnomah,2182,Reynolds SD 7,947,Hartley Elementary School,School,NA,3.7,1.3,NA,4.7,NA,5.1
Multnomah,2182,Reynolds SD 7,948,Margaret Scott Elementary School,School,6.7,9.2,4.5,NA,6.7,NA,8.1
Multnomah,2182,Reynolds SD 7,949,Davis Elementary School,School,NA,4.7,2.1,NA,NA,NA,8.9
Multnomah,2182,Reynolds SD 7,950,Sweetbriar Elementary School,School,NA,NA,2.7,NA,NA,NA,5.7
Multnomah,2182,Reynolds SD 7,951,Troutdale Elementary School,School,NA,NA,2,NA,NA,NA,3.8
Multnomah,2182,Reynolds SD 7,952,Wilkes Elementary School,School,0.5,5.2,2,NA,0,NA,0
Columbia,1944,Scappoose SD 1J,958,Sauvie Island Academy,School,NA,NA,NA,NA,NA,NA,13.9
Multnomah,2185,Centennial SD 28J,959,Lynch Meadows Elementary School,School,NA,NA,2.8,NA,NA,NA,4
Multnomah,2185,Centennial SD 28J,962,Oliver Elementary School,School,NA,NA,3.6,NA,NA,NA,5.6
Multnomah,2185,Centennial SD 28J,963,Parklane Elementary School,School,3.1,5,0.5,NA,4.5,NA,3.1
Multnomah,2185,Centennial SD 28J,964,Lynch View Elementary School,School,0,NA,1.6,NA,NA,NA,4.9
Multnomah,2185,Centennial SD 28J,965,Lynch Wood Elementary School,School,3.8,NA,2.9,NA,NA,NA,2.7
Multnomah,2185,Centennial SD 28J,966,Pleasant Valley Elementary School,School,3.7,NA,3,NA,NA,NA,5.9
Multnomah,2187,David Douglas SD 40,972,Cherry Park Elementary School,School,6,NA,4.1,NA,4.2,NA,12
Multnomah,2187,David Douglas SD 40,973,Gilbert Heights Elementary School,School,3.9,4.3,3.2,NA,8.1,3.2,6.7
Multnomah,2187,David Douglas SD 40,974,Gilbert Park Elementary School,School,1,4.2,2.2,NA,19.8,NA,3.6
Multnomah,2187,David Douglas SD 40,975,Lincoln Park Elementary School,School,5.2,3.1,1.5,NA,NA,NA,3.4
Multnomah,2187,David Douglas SD 40,976,Menlo Park Elementary School,School,NA,4.3,4.8,NA,1.1,NA,6.5
Multnomah,2187,David Douglas SD 40,977,Mill Park Elementary School,School,3.8,7.4,4.5,NA,NA,NA,5.7
Multnomah,2187,David Douglas SD 40,978,Ventura Park Elementary School,School,9.1,11.7,3.8,NA,NA,NA,7.4
Multnomah,2187,David Douglas SD 40,979,West Powellhurst Elementary School,School,2,6.4,4.1,NA,3.9,NA,3.6
Multnomah,2188,Riverdale SD 51J,985,Riverdale Grade School,School,NA,NA,NA,NA,NA,NA,16.4
Polk,2190,Dallas SD 2,989,Lyle Elementary School,School,NA,NA,2.8,NA,NA,NA,7.9
Polk,2190,Dallas SD 2,990,Oakdale Heights Elementary School,School,NA,NA,2.9,NA,NA,NA,7.4
Polk,2191,Central SD 13J,998,Independence Elementary School,School,NA,NA,4.6,NA,NA,NA,5.7
Polk,2191,Central SD 13J,999,Monmouth Elementary School,School,NA,NA,2,NA,NA,NA,5.2
Polk,2193,Falls City SD 57,1005,Falls City Elementary School,School,NA,NA,NA,NA,NA,NA,6.8
Sherman,2195,Sherman County SD,1010,Sherman County School,School,NA,NA,NA,NA,NA,NA,12
Tillamook,2197,Tillamook SD 9,1013,Liberty Elementary School,School,NA,NA,3.8,NA,8.2,NA,6.4
Tillamook,2199,Nestucca Valley SD 101J,1019,Nestucca Valley Elementary School,School,NA,NA,0,NA,NA,NA,6.3
Tillamook,2198,Neah-Kah-Nie SD 56,1020,Garibaldi Elementary School,School,NA,NA,NA,NA,NA,NA,10.4
Tillamook,2198,Neah-Kah-Nie SD 56,1021,Nehalem Elementary School,School,NA,NA,NA,NA,NA,NA,9.2
Umatilla,2202,Pilot Rock SD 2,1027,Pilot Rock Elementary School,School,NA,NA,NA,NA,NA,NA,8.8
Umatilla,2204,Umatilla SD 6R,1032,McNary Heights Elementary School,School,NA,NA,2.2,NA,NA,NA,4.8
Umatilla,2206,Hermiston SD 8,1034,Highland Hills Elementary School,School,NA,NA,2.4,NA,0.6,NA,6
Umatilla,2206,Hermiston SD 8,1036,Rocky Heights Elementary School,School,NA,NA,2.7,NA,9,NA,6.8
Umatilla,2206,Hermiston SD 8,1037,Sunset Elementary School,School,NA,NA,2.9,NA,NA,NA,5.6
Umatilla,2206,Hermiston SD 8,1038,West Park Elementary School,School,NA,NA,2.7,NA,NA,NA,7.2
